Zoo Tycoon DS,TRUE,1,TRUE,SimulationStrategy,THQ,TRUE,44,0.92,12.95,Nintendo DS,T,TRUE,2005,0
The Sims 2,TRUE,1,TRUE,Role-Playing (RPG)Simulation,EA,TRUE,70,0.83,17.95,Nintendo DS,M,TRUE,2005,55.93333333
Mario & Luigi: Partners in Time,TRUE,1,TRUE,ActionRole-Playing (RPG),Nintendo,TRUE,86,0.75,29.95,Nintendo DS,E,TRUE,2005,19.66666667
Madden NFL 06,TRUE,1,TRUE,Sports,EA,TRUE,75,0.75,7.95,Sony PSP,E,TRUE,2005,3.75
Need for Speed Underground: Rivals,TRUE,4,TRUE,Racing / Driving,EA,TRUE,74,0.73,17.95,Sony PSP,E,TRUE,2005,22.36666667
Twisted Metal: Head-On,TRUE,1,TRUE,ActionRacing / Driving,Sony,TRUE,79,0.73,14.95,Sony PSP,E,TRUE,2005,0
Perfect Dark Zero,TRUE,4,TRUE,Action,Microsoft,TRUE,79,0.7,17.95,X360,E,TRUE,2005,9.3
Super Monkey Ball: Touch & Roll,TRUE,1,TRUE,Action,Sega,TRUE,63,0.7,15.95,Nintendo DS,T,TRUE,2005,1.45
Super Princess Peach,TRUE,1,TRUE,Action,Nintendo,TRUE,75,0.7,29.95,Nintendo DS,T,TRUE,2005,11
Burnout Legends,TRUE,1,TRUE,ActionRacing / Driving,EA,TRUE,86,0.68,14.95,Sony PSP,T,TRUE,2005,12.83333333
Madden NFL 06,TRUE,2,TRUE,Sports,EA,TRUE,74,0.62,4.95,X360,E,TRUE,2005,3.75
Clubhouse Games,TRUE,1,TRUE,Strategy,Nintendo,TRUE,83,0.61,17.95,Nintendo DS,E,TRUE,2005,20
ATV Offroad Fury: Blazin' Trails,TRUE,4,TRUE,Racing / DrivingSports,Sony,TRUE,63,0.56,12.95,Sony PSP,T,TRUE,2005,0
Untold Legends: Brotherhood of the Blade,TRUE,1,TRUE,ActionRole-Playing (RPG),ActivisionSony,TRUE,68,0.56,12.95,Sony PSP,M,TRUE,2005,21
