March Comes in Like a Lion,Manga,Ongoing,Publishing,Jul 13 2007 to ?,Drama / Game / Slice of Life / Seinen,Umino Chika (Story & Art),Young Animal,8.81,29,276,9035
Monogatari Series: Final Season,Novel,231,Finished,Sep 28 2012 to Sep 18 2014,Comedy / Mystery / Vampire / Supernatural,NISIO ISIN (Story)  VOFAN (Art),None,8.8,30,1119,1919
One-Punch Man,Manga,Ongoing,Publishing,Jun 14 2012 to ?,Action / Comedy / Parody / Sci-Fi / Super / Supernatural,Murata Yusuke (Art)  ONE (Story),Tonari no Young Jump,8.77,31,7,117345
Land of the Lustrous,Manga,Ongoing,Publishing,Oct 25 2012 to ?,Action / Fantasy / Seinen,Ichikawa Haruko (Story & Art),Afternoon,8.77,32,193,12246
Mushishi,Manga,50,Finished,Nov 1999 to Aug 25 2008,Mystery / Fantasy / Historical / Supernatural / Seinen,Urushibara Yuki (Story & Art),Afternoon,8.77,33,163,12793
Tower of God,Manhwa,Ongoing,Publishing,Jul 5 2010 to ?,Action / Adventure / Mystery / Drama / Fantasy,SIU (Story & Art),Naver Webtoon,8.76,34,120,24687
Yokohama Shopping Log,Manga,142,Finished,Apr 25 1994 to Feb 25 2006,Drama / Sci-Fi / Slice of Life / Seinen,Ashinano Hitoshi (Story & Art),Afternoon,8.73,35,206,11067
Death Note,Manga,108,Finished,Dec 1 2003 to May 15 2006,Mystery / Drama / Shounen / Supernatural / Psychological,Obata Takeshi (Art)  Ohba Tsugumi (Story),Shounen Jump (Weekly),8.73,36,8,149712
Real,Manga,Ongoing,Publishing,1999 to ?,Drama / Sports / Psychological / Seinen,Inoue Takehiko (Story & Art),Young Jump,8.73,37,288,7176
Natsume's Book of Friends,Manga,Ongoing,Publishing,Jun 10 2003 to ?,Drama / Shoujo / Supernatural,Midorikawa Yuki (Story & Art),LaLa DX,8.73,38,297,8350
Overlord,Novel,Ongoing,Publishing,Jul 30 2012 to ?,Action / Fantasy / Game / Magic / Supernatural,Maruyama Kugane (Story)  so-bin (Art),None,8.73,39,229,12174
I sold my life for ten thousand yen per year.,Manga,18,Finished,Aug 10 2016 to Oct 25 2017,Drama / Shounen,Taguchi Shouichi (Art)  Miaki Sugaru (Story),Shounen Jump+,8.72,40,186,20693
Akira,Manga,120,Finished,Dec 6 1982 to Jun 11 1990,Action / Sci-Fi / Seinen,Otomo Katsuhiro (Story & Art),Young Magazine (Weekly),8.72,41,92,24654
Nana,Manga,84,On Hiatus,May 26 2000 to May 26 2009,Drama / Music / Romance / Shoujo / Slice of Life,Yazawa Ai (Story & Art),Cookie,8.7,42,106,25381
Hunter x Hunter,Manga,Ongoing,Publishing,Mar 3 1998 to ?,Action / Adventure / Fantasy / Shounen / Super,Togashi Yoshihiro (Story & Art),Shounen Jump (Weekly),8.69,43,17,70700
Our Happy Hours,Manga,8,Finished,Mar 28 2008 to Aug 22 2008,Drama / Music / Romance / Slice of Life / Psychological / Seinen,Yumeka Sumomo (Art),Comic Bunch,8.69,44,67,40548
Classroom of the Elite,Novel,Ongoing,Publishing,May 25 2015 to ?,Drama / School / Psychological,Tomose Shunsaku (Art)  Kinugasa Shougo (Story),None,8.69,45,459,4459
ReLIFE,Manga,237,Finished,Oct 12 2013 to Mar 16 2018,Comedy / Drama / Romance / School / Slice of Life,Yayoi Sou (Story & Art),comico,8.68,46,44,49908
A Certain Magical Index: New Testament,Novel,178,Finished,Mar 10 2011 to Jul 10 2019,Action / Comedy / Fantasy / Magic / Sci-Fi / Super / Supernatural,Kamachi Kazuma (Story)  Haimura Kiyotaka (Art),None,8.68,47,1144,2767
Hajime no Ippo,Manga,Ongoing,Publishing,Sep 27 1989 to ?,Action / Comedy / Drama / Shounen / Sports,Morikawa George (Story & Art),Shounen Magazine (Weekly),8.68,48,158,22862
BECK: Mongolian Chop Squad,Manga,103,Finished,Feb 17 2000 to Jun 5 2008,Comedy / Drama / Music / Romance / Shounen / Slice of Life,Sakuishi Harold (Story & Art),Shounen Magazine (Monthly),8.68,49,207,17352
Lone Wolf & Cub,Manga,142,Finished,Sep 1970 to Apr 1976,Action / Historical / Samurai / Seinen,Koike Kazuo (Story)  Kojima Goseki (Art),Manga Action,8.67,50,358,4551
Konosuba: God's Blessing on This Wonderful World!,Novel,Ongoing,Publishing,Oct 1 2013 to ?,Adventure / Comedy / Fantasy / Supernatural,Mishima Kurone (Art)  Akatsuki Natsume (Story),None,8.67,51,330,7609
Bloom Into You,Manga,50,Finished,Apr 27 2015 to Sep 27 2019,Drama / School / Shoujo,Nakatani Nio (Story & Art),Dengeki Daioh,8.67,52,216,15402
Who Made Me a Princess,Manhwa,Ongoing,Publishing,Dec 20 2017 to ?,Comedy / Fantasy / Romance,Plutus (Story)  Spoon (Art),None,8.67,53,1355,3370
Spy x Family,Manga,Ongoing,Publishing,Mar 25 2019 to ?,Action / Comedy / Shounen,Endou Tatsuya (Story & Art),Shounen Jump+,8.66,54,152,18545
Toilet-Bound Hanako-kun,Manga,Ongoing,Publishing,Dec 18 2014 to ?,School / Supernatural,Aida Iro (Story & Art),GFantasy,8.66,55,348,9074
Your Lie in April,Manga,44,Finished,Apr 6 2011 to Feb 6 2015,Drama / Music / Romance / School / Shounen,Arakawa Naoshi (Story & Art),Shounen Magazine (Monthly),8.66,56,143,22804
Umineko When They Cry Episode 8: Twilight of the Golden Witch,Manga,42,Finished,Jan 21 2012 to Jun 22 2015,Mystery / Drama / Fantasy / Magic / Shounen / Supernatural,Natsumi Kei (Art)  Ryukishi07 (Story),Gangan Joker,8.65,57,1643,2285
Hyouka,Novel,Ongoing,Publishing,Oct 31 2001 to ?,Adventure / Mystery / School,Yonezawa Honobu (Story),None,8.65,58,1153,1627
Bastard,Manhwa,94,Finished,Jul 4 2014 to May 6 2016,Mystery / Drama / Horror / Romance / Psychological,Kim Carnby (Story)  Hwang Young-chan (Art),Naver Webtoon,8.65,59,169,23128
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,Novel,25,Finished,Nov 1 2014 to Apr 1 2016,Drama / Fantasy / Romance / Sci-Fi,Kareno Akira (Story)  ue (Art),None,8.65,60,657,3139
Beastars,Manga,Ongoing,Publishing,Sep 8 2016 to ?,Drama / Shounen / Slice of Life / Psychological,Itagaki Paru (Story & Art),Shounen Champion,8.65,61,178,16838
Aria,Manga,67,Finished,Feb 28 2002 to Feb 29 2008,Adventure / Comedy / Drama / Sci-Fi / Shounen / Slice of Life,Amano Kozue (Story & Art),Comic Blade,8.64,62,402,7179
Decapitation: Kubikiri Cycle,Novel,71,Finished,Feb 5 2002 to Nov 7 2005,Action / Mystery / Drama / Supernatural,NISIO ISIN (Story)  Take (Art),None,8.64,63,818,2263
Song of the Long March,Manhua,Ongoing,Publishing,Feb 2011 to ?,Action / Adventure / Drama / Historical,Xia Da (Story & Art),Comic Fans,8.64,64,531,3536
Girls' Last Tour,Manga,47,Finished,Feb 21 2014 to Jan 12 2018,Adventure / Slice of Life,Tsukumizu (Story & Art),Kurage Bunch,8.64,65,440,8248
Kino no Tabi: The Beautiful World,Novel,Ongoing,Publishing,Mar 10 2000 to ?,Adventure / Mystery / Drama / Fantasy / Sci-Fi / Psychological,Sigsawa Keiichi (Story)  Kuroboshi Kouhaku (Art),None,8.63,66,958,1763
Skip Beat!,Manga,Ongoing,Publishing,Feb 15 2002 to ?,Comedy / Drama / Romance / Shoujo,Nakamura Yoshiki (Story & Art),Hana to Yume,8.63,67,81,33948
Rurouni Kenshin: Meiji Swordsman Romantic Story,Manga,259,Finished,Apr 12 1994 to Sep 21 1999,Action / Drama / Historical / Samurai / Shounen,Watsuki Nobuhiro (Story & Art),Shounen Jump (Weekly),8.62,68,91,36782
Pluto: Urusawa x Tezuka,Manga,65,Finished,Sep 9 2003 to Apr 1 2009,Action / Mystery / Mecha / Sci-Fi / Psychological / Seinen,Urasawa Naoki (Story & Art)  Tezuka Osamu (Story),Big Comic Original,8.62,69,140,22071
JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,Manga,174,Finished,Apr 21 1992 to Nov 21 1995,Action / Shounen / Supernatural,Araki Hirohiko (Story & Art),Shounen Jump (Weekly),8.62,70,126,35341
Pandora Hearts,Manga,107,Finished,May 18 2006 to Mar 18 2015,Adventure / Mystery / Fantasy / Shounen / Supernatural,Mochizuki Jun (Story & Art),GFantasy,8.62,71,35,45264
Stop This Sound!,Manga,Ongoing,Publishing,Aug 4 2012 to ?,Drama / School / Shounen,Sakura Amyuu (Story & Art),Jump SQ.,8.62,72,567,4849
Blank Canvas: My So-Called Artist's Journey,Manga,34,Finished,Nov 28 2011 to Jan 28 2015,Slice of Life / Josei,Higashimura Akiko (Story & Art),Cocohana,8.61,73,641,4603
One Hundred Mob Psycho,Manga,109,Finished,Apr 18 2012 to Dec 22 2017,Action / Comedy / Supernatural,ONE (Story & Art),MangaONE,8.61,74,124,22949
Re:ZERO -Starting Life in Another World-,Novel,Ongoing,Publishing,Jan 23 2014 to ?,Action / Drama / Fantasy,Nagatsuki Tappei (Story)  Ootsuka Shinichirou (Art),None,8.61,75,249,8671
Dorohedoro,Manga,190,Finished,Nov 30 2000 to Sep 12 2018,Action / Comedy / Fantasy / Horror / Seinen,Hayashida Q (Story & Art),Ikki,8.61,76,100,19603
Fate/Zero,Novel,18,Finished,Dec 29 2006 to Dec 29 2007,Action / Fantasy / Supernatural,Takeuchi Takashi (Art)  Urobuchi Gen (Story),None,8.61,77,506,5732
One Outs,Manga,175,Finished,Nov 14 1998 to Aug 15 2006,Sports / Psychological / Seinen,Kaitani Shinobu (Story & Art),Business Jump,8.6,78,514,7360
Attack on Titan,Manga,Ongoing,Publishing,Sep 9 2009 to ?,Action / Mystery / Drama / Fantasy / Horror / Shounen / Super / Supernatural,Isayama Hajime (Story & Art),Bessatsu Shounen Magazine,8.6,79,1,158437
No Game No Life,Novel,Ongoing,Publishing,Apr 25 2012 to ?,Comedy / Ecchi / Fantasy / Game / Supernatural,Kamiya Yuu (Story & Art),None,8.6,80,195,10579
Violet Evergarden,Novel,13,Finished,Dec 25 2015 to Dec 26 2016,Drama / Fantasy,Akatsuki Kana (Story)  Takase Akiko (Art),None,8.6,81,801,2477
Kids on the Slope,Manga,45,Finished,Sep 28 2007 to Jan 28 2012,Drama / Music / Romance / School / Slice of Life / Josei,Kodama Yuki (Story & Art),Flowers (Monthly),8.59,82,482,7709
Molester Man,Manga,21,Finished,2004,Comedy / Drama / Romance / Slice of Life,Yokota Takuma (Story & Art),None,8.59,83,248,18074
Baccano!,Novel,Ongoing,Publishing,Feb 10 2003 to ?,Action / Mystery / Fantasy,Narita Ryohgo (Story)  Enami Katsumi (Art),None,8.59,84,811,1862
Suzumiya Haruhi Series,Novel,Ongoing,On Hiatus,Jun 6 2003 to ?,Comedy / Drama / School / Sci-Fi / Supernatural,Tanigawa Nagaru (Story)  Itou Noizi (Art),The Sneaker,8.59,85,329,9159
